open,high,low,close,volume,count,datetime
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 13:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 13:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 14:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-08 15:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 09:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 09:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 09:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 09:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 09:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 09:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 10:50:00
89.0,89.0,89.0,89.0,1.0,1.0,2021-04-09 10:55:00
87.0,87.0,87.0,87.0,1.0,1.0,2021-04-09 11:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 11:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:45:00
89.79,89.79,89.79,89.79,7.0,1.0,2021-04-09 12:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 12:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 13:55:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 14:55:00
87.71,87.71,87.71,87.71,1.0,1.0,2021-04-09 15:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:05:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:15:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:20:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:25:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:30:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:35:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:40:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:45:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:50:00
0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09 15:55:00
,,,,,,
